,relation_id,case_lawyer,case,lawyer,case_id,lawyer_id
23217,rcase_lawyer_46094,"('5df56ce4ab936e461498aacb', '郭康')",5df56ce4ab936e461498aacb,郭康,case_38134,lawyer_5725
23218,rcase_lawyer_46095,"('5df56ce4ab936e461498aacb', '关立君')",5df56ce4ab936e461498aacb,关立君,case_38134,lawyer_5780
23219,rcase_lawyer_46097,"('5df56cdcab936e461498aac8', '郭康')",5df56cdcab936e461498aac8,郭康,case_38136,lawyer_5725
23220,rcase_lawyer_46098,"('5df56cdcab936e461498aac8', '关立君')",5df56cdcab936e461498aac8,关立君,case_38136,lawyer_5780
23221,rcase_lawyer_46100,"('5df56cdcab936e461498aac9', '郭康')",5df56cdcab936e461498aac9,郭康,case_38138,lawyer_5725
23222,rcase_lawyer_46101,"('5df56cdcab936e461498aac9', '关立君')",5df56cdcab936e461498aac9,关立君,case_38138,lawyer_5780
23223,rcase_lawyer_46102,"('5e24526247825900472ceaa9', '郭康')",5e24526247825900472ceaa9,郭康,case_38139,lawyer_5725
23224,rcase_lawyer_46103,"('5e24526247825900472ceaa9', '关立君')",5e24526247825900472ceaa9,关立君,case_38139,lawyer_5780
23225,rcase_lawyer_46104,"('5e2452c247825900472cf53f', '郭康')",5e2452c247825900472cf53f,郭康,case_38140,lawyer_5725
23226,rcase_lawyer_46105,"('5e2452c247825900472cf53f', '关立君')",5e2452c247825900472cf53f,关立君,case_38140,lawyer_5780
23227,rcase_lawyer_46107,"('5e2452b447825900472cf384', '郭康')",5e2452b447825900472cf384,郭康,case_38142,lawyer_5725
23228,rcase_lawyer_46108,"('5e2452b447825900472cf384', '关立君')",5e2452b447825900472cf384,关立君,case_38142,lawyer_5780
23229,rcase_lawyer_46112,"('5e2452ea47825900472cf9ba', '郭康')",5e2452ea47825900472cf9ba,郭康,case_38146,lawyer_5725
23230,rcase_lawyer_46113,"('5e2452ea47825900472cf9ba', '关立君')",5e2452ea47825900472cf9ba,关立君,case_38146,lawyer_5780
23231,rcase_lawyer_46114,"('5e2452a747825900472cf232', '郭康')",5e2452a747825900472cf232,郭康,case_38147,lawyer_5725
23232,rcase_lawyer_46115,"('5e2452a747825900472cf232', '关立君')",5e2452a747825900472cf232,关立君,case_38147,lawyer_5780
23233,rcase_lawyer_46116,"('5df55ea8ab936e46149849e9', '吴应华')",5df55ea8ab936e46149849e9,吴应华,case_38148,lawyer_2483
23234,rcase_lawyer_46119,"('5ee0770c3edbe71b2f877c98', '郭康')",5ee0770c3edbe71b2f877c98,郭康,case_38151,lawyer_5725
23235,rcase_lawyer_46120,"('5ee0770c3edbe71b2f877c98', '关立君')",5ee0770c3edbe71b2f877c98,关立君,case_38151,lawyer_5780
